pincode,district,state_name,latitude,longitude
827014,BOKARO,JHARKHAND,23.666778,86.066719
827015,BOKARO,JHARKHAND,23.66,86.086
827016,BOKARO,JHARKHAND,23.6575,86.1392
827302,BOKARO,JHARKHAND,23.642333,86.193082
828101,DHANBAD,JHARKHAND,23.764979,86.427149
828103,DHANBAD,JHARKHAND,23.769611,86.317467
828104,DHANBAD,JHARKHAND,23.799841,86.412444
828105,DHANBAD,JHARKHAND,23.818594,86.384142
828106,DHANBAD,JHARKHAND,23.787637,86.42173
828107,DHANBAD,JHARKHAND,23.650008,86.488264
828108,DHANBAD,JHARKHAND,23.692886,86.416603
828109,DHANBAD,JHARKHAND,23.762483,86.448545
828110,DHANBAD,JHARKHAND,23.755976,86.422244
828111,DHANBAD,JHARKHAND,23.778333,86.450079
828112,DHANBAD,JHARKHAND,23.695256,86.257492
828113,DHANBAD,JHARKHAND,23.797395,86.336206
828114,DHANBAD,JHARKHAND,23.801623,86.377106
828115,DHANBAD,JHARKHAND,23.722332,86.427542
828116,DHANBAD,JHARKHAND,23.733547,86.336157
828117,DHANBAD,JHARKHAND,23.752199,86.393504
828119,DHANBAD,JHARKHAND,23.685389,86.425806
828120,DHANBAD,JHARKHAND,23.796694,86.433917
828121,DHANBAD,JHARKHAND,23.737831,86.27175
828122,DHANBAD,JHARKHAND,23.674453,86.490243
828123,DHANBAD,JHARKHAND,23.657247,86.474178
828124,DHANBAD,JHARKHAND,23.667944,86.498033
828125,DHANBAD,JHARKHAND,23.765373,86.288013
828126,DHANBAD,JHARKHAND,23.655841,86.440682
828127,DHANBAD,JHARKHAND,23.816083,86.459806
828128,DHANBAD,JHARKHAND,23.78915,86.250878
828129,DHANBAD,JHARKHAND,23.776931,86.415313
828130,DHANBAD,JHARKHAND,23.806806,86.416917
828131,DHANBAD,JHARKHAND,23.752665,86.425172
828132,DHANBAD,JHARKHAND,23.683067,86.434286
828133,DHANBAD,JHARKHAND,23.691158,86.423158
828134,BOKARO,JHARKHAND,23.708237,86.320727
828135,DHANBAD,JHARKHAND,23.664925,86.445069
828142,DHANBAD,JHARKHAND,23.82937,86.457364
828201,DHANBAD,JHARKHAND,23.776629,86.487333
828202,DHANBAD,JHARKHAND,23.767486,86.578315
828203,DHANBAD,JHARKHAND,23.267696,86.677498
828204,DHANBAD,JHARKHAND,23.744066,86.537388
828205,DHANBAD,JHARKHAND,23.796312,86.45666
828206,DHANBAD,JHARKHAND,23.693322,86.761822
828207,DHANBAD,JHARKHAND,23.773278,86.7945
828301,DHANBAD,JHARKHAND,23.772049,86.422983
828302,DHANBAD,JHARKHAND,23.69824,86.39879
828303,BOKARO,JHARKHAND,23.643158,86.37948
828304,DHANBAD,JHARKHAND,23.789112,86.361922
828305,DHANBAD,JHARKHAND,23.727607,86.35901
828306,DHANBAD,JHARKHAND,23.789164,86.390084
828307,DHANBAD,JHARKHAND,24.368041,86.017519
828309,DHANBAD,JHARKHAND,23.796722,86.412944
828401,DHANBAD,JHARKHAND,23.841416,86.24973
828402,DHANBAD,JHARKHAND,23.847129,86.341004
828403,BOKARO,JHARKHAND,23.748083,86.11775
828404,BOKARO,JHARKHAND,23.764164,86.142069
829101,RAMGARH,JHARKHAND,23.673633,85.477462
829102,RAMGARH,JHARKHAND,23.626447,85.496194
829103,RAMGARH,JHARKHAND,23.606502,85.463975
829104,BOKARO,JHARKHAND,23.767306,85.987472
829105,RAMGARH,JHARKHAND,23.639813,85.449722
829106,RAMGARH,JHARKHAND,23.6328,85.4802
829107,BOKARO,JHARKHAND,23.784778,85.925625
829108,RAMGARH,JHARKHAND,23.683632,85.371806
829109,RAMGARH,JHARKHAND,23.785876,85.181488
829110,RAMGARH,JHARKHAND,23.548228,85.707653
829111,BOKARO,JHARKHAND,23.798709,85.900085
829112,BOKARO,JHARKHAND,23.738539,85.987842
829113,BOKARO,JHARKHAND,23.766724,85.916686
829114,BOKARO,JHARKHAND,23.764,85.94735
829116,BOKARO,JHARKHAND,23.771167,85.887917
829117,RAMGARH,JHARKHAND,23.851675,85.239751
829118,RAMGARH,JHARKHAND,23.736997,85.357628
829119,RAMGARH,JHARKHAND,23.622993,85.325163
829121,BOKARO,JHARKHAND,23.600226,85.850037
829122,RAMGARH,JHARKHAND,23.632139,85.514194
829123,BOKARO,JHARKHAND,23.716796,85.833492
829125,RAMGARH,JHARKHAND,23.688138,85.320277
829126,RAMGARH,JHARKHAND,23.675033,85.34571
829127,BOKARO,JHARKHAND,23.768465,85.911683
829128,BOKARO,JHARKHAND,24.173358,86.286779
829129,RAMGARH,JHARKHAND,23.713316,85.582782
829130,RAMGARH,JHARKHAND,23.62892,85.504754
829131,RAMGARH,JHARKHAND,23.632639,85.505083
829132,BOKARO,JHARKHAND,23.60222,85.32695
829133,RAMGARH,JHARKHAND,23.66005,85.342205
829134,RAMGARH,JHARKHAND,23.720335,85.66
829135,RAMGARH,JHARKHAND,23.662888,85.373018
829143,RAMGARH,JHARKHAND,23.74778,85.469845
829144,BOKARO,JHARKHAND,23.767308,85.987494
829149,BOKARO,JHARKHAND,23.71956,85.69828
829150,RAMGARH,JHARKHAND,23.69798,85.704621
829201,CHATRA,JHARKHAND,23.59437,85.053416
829202,LATEHAR,JHARKHAND,23.844714,84.77876
829203,LATEHAR,JHARKHAND,23.648975,84.79033
829204,LATEHAR,JHARKHAND,23.764931,84.393352
829205,RANCHI,JHARKHAND,23.493411,84.995056
829206,LATEHAR,JHARKHAND,23.775094,84.487812
829207,LATEHAR,JHARKHAND,23.73824,84.544844
829208,RANCHI,JHARKHAND,25.1118,84.563525
829209,HAZARIBAGH,JHARKHAND,23.681322,85.05714
829210,RANCHI,JHARKHAND,23.6574,84.83305
829301,BOKARO,JHARKHAND,23.67261,86.100475
831001,EAST SINGHBUM,JHARKHAND,22.752639,86.239979
831002,EAST SINGHBUM,JHARKHAND,22.737963,86.177418
831003,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831004,EAST SINGHBUM,JHARKHAND,22.789716,86.226847
831005,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831006,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831007,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831009,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831011,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
